trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars_24h,status
T0001,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,top50,96,REGISTERED
T0002,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,top50,96,REGISTERED
T0003,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,top50,96,REGISTERED
T0004,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,top50,96,REGISTERED
T0005,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,top50,96,REGISTERED
T0006,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,top50,96,REGISTERED
T0007,trend.ema_slope,default,spot,15m,LONG,top50,96,REGISTERED
T0008,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,top50,96,REGISTERED
T0009,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,top50,96,REGISTERED
T0010,trend.donchian,donchian_20,spot,15m,LONG,top50,96,REGISTERED
T0011,trend.donchian,donchian_48,spot,15m,LONG,top50,96,REGISTERED
T0012,trend.donchian,donchian_55,spot,15m,LONG,top50,96,REGISTERED
T0013,momentum.roc,roc_6,spot,15m,LONG,top50,96,REGISTERED
T0014,momentum.roc,roc_12,spot,15m,LONG,top50,96,REGISTERED
T0015,momentum.roc,roc_24,spot,15m,LONG,top50,96,REGISTERED
T0016,momentum.rsi,rsi_7_30_70,spot,15m,LONG,top50,96,REGISTERED
T0017,momentum.rsi,rsi_14_30_70,spot,15m,LONG,top50,96,REGISTERED
T0018,momentum.rsi,rsi_21_30_70,spot,15m,LONG,top50,96,REGISTERED
T0019,volatility.atr_natr,natr14_filter,spot,15m,LONG,top50,96,REGISTERED
T0020,volatility.bollinger_bandwidth,bb20_2s_filter,spot,15m,LONG,top50,96,REGISTERED
T0021,volatility.realized_percentile,rv20_p100_filter,spot,15m,LONG,top50,96,REGISTERED
T0022,volume.rvol,rvol20_filter,spot,15m,LONG,top50,96,REGISTERED
T0023,volume.vwap_deviation,vwap_dev20_reversal,spot,15m,LONG,top50,96,REGISTERED
T0024,orderflow.taker_ratio,ratio_sign,spot,15m,LONG,top50,96,REGISTERED
T0025,orderflow.cvd,cvd_slope6_sign,spot,15m,LONG,top50,96,REGISTERED
T0026,context.btc_regime,regime_follow,spot,15m,LONG,top50,96,REGISTERED
T0027,context.market_breadth,breadth_0.4_0.6,spot,15m,LONG,top50,96,REGISTERED
T0028,trend.ema_20_50_spread,ema_10_30,spot,1h,LONG,top50,24,REGISTERED
T0029,trend.ema_20_50_spread,ema_20_50,spot,1h,LONG,top50,24,REGISTERED
T0030,trend.ema_20_50_spread,ema_50_200,spot,1h,LONG,top50,24,REGISTERED
T0031,trend.ema_50_200_regime,ema_10_30,spot,1h,LONG,top50,24,REGISTERED
T0032,trend.ema_50_200_regime,ema_20_50,spot,1h,LONG,top50,24,REGISTERED
T0033,trend.ema_50_200_regime,ema_50_200,spot,1h,LONG,top50,24,REGISTERED
T0034,trend.ema_slope,default,spot,1h,LONG,top50,24,REGISTERED
T0035,trend.adx_dmi,adx14_threshold20,spot,1h,LONG,top50,24,REGISTERED
T0036,trend.kaufman_er,er10_threshold0.3,spot,1h,LONG,top50,24,REGISTERED
T0037,trend.donchian,donchian_20,spot,1h,LONG,top50,24,REGISTERED
T0038,trend.donchian,donchian_48,spot,1h,LONG,top50,24,REGISTERED
T0039,trend.donchian,donchian_55,spot,1h,LONG,top50,24,REGISTERED
T0040,momentum.roc,roc_6,spot,1h,LONG,top50,24,REGISTERED
T0041,momentum.roc,roc_12,spot,1h,LONG,top50,24,REGISTERED
T0042,momentum.roc,roc_24,spot,1h,LONG,top50,24,REGISTERED
T0043,momentum.rsi,rsi_7_30_70,spot,1h,LONG,top50,24,REGISTERED
T0044,momentum.rsi,rsi_14_30_70,spot,1h,LONG,top50,24,REGISTERED
T0045,momentum.rsi,rsi_21_30_70,spot,1h,LONG,top50,24,REGISTERED
T0046,volatility.atr_natr,natr14_filter,spot,1h,LONG,top50,24,REGISTERED
T0047,volatility.bollinger_bandwidth,bb20_2s_filter,spot,1h,LONG,top50,24,REGISTERED
T0048,volatility.realized_percentile,rv20_p100_filter,spot,1h,LONG,top50,24,REGISTERED
T0049,volume.rvol,rvol20_filter,spot,1h,LONG,top50,24,REGISTERED
T0050,volume.vwap_deviation,vwap_dev20_reversal,spot,1h,LONG,top50,24,REGISTERED
T0051,orderflow.taker_ratio,ratio_sign,spot,1h,LONG,top50,24,REGISTERED
T0052,orderflow.cvd,cvd_slope6_sign,spot,1h,LONG,top50,24,REGISTERED
T0053,context.btc_regime,regime_follow,spot,1h,LONG,top50,24,REGISTERED
T0054,trend.ema_20_50_spread,ema_10_30,spot,4h,LONG,top50,6,REGISTERED
T0055,trend.ema_20_50_spread,ema_20_50,spot,4h,LONG,top50,6,REGISTERED
T0056,trend.ema_20_50_spread,ema_50_200,spot,4h,LONG,top50,6,REGISTERED
T0057,trend.ema_50_200_regime,ema_10_30,spot,4h,LONG,top50,6,REGISTERED
T0058,trend.ema_50_200_regime,ema_20_50,spot,4h,LONG,top50,6,REGISTERED
T0059,trend.ema_50_200_regime,ema_50_200,spot,4h,LONG,top50,6,REGISTERED
T0060,trend.ema_slope,default,spot,4h,LONG,top50,6,REGISTERED
T0061,trend.adx_dmi,adx14_threshold20,spot,4h,LONG,top50,6,REGISTERED
T0062,trend.kaufman_er,er10_threshold0.3,spot,4h,LONG,top50,6,REGISTERED
T0063,trend.donchian,donchian_20,spot,4h,LONG,top50,6,REGISTERED
T0064,trend.donchian,donchian_48,spot,4h,LONG,top50,6,REGISTERED
T0065,trend.donchian,donchian_55,spot,4h,LONG,top50,6,REGISTERED
T0066,momentum.roc,roc_6,spot,4h,LONG,top50,6,REGISTERED
T0067,momentum.roc,roc_12,spot,4h,LONG,top50,6,REGISTERED
T0068,momentum.roc,roc_24,spot,4h,LONG,top50,6,REGISTERED
T0069,momentum.rsi,rsi_7_30_70,spot,4h,LONG,top50,6,REGISTERED
T0070,momentum.rsi,rsi_14_30_70,spot,4h,LONG,top50,6,REGISTERED
T0071,momentum.rsi,rsi_21_30_70,spot,4h,LONG,top50,6,REGISTERED
T0072,volatility.atr_natr,natr14_filter,spot,4h,LONG,top50,6,REGISTERED
T0073,volatility.bollinger_bandwidth,bb20_2s_filter,spot,4h,LONG,top50,6,REGISTERED
T0074,volatility.realized_percentile,rv20_p100_filter,spot,4h,LONG,top50,6,REGISTERED
T0075,volume.rvol,rvol20_filter,spot,4h,LONG,top50,6,REGISTERED
T0076,volume.vwap_deviation,vwap_dev20_reversal,spot,4h,LONG,top50,6,REGISTERED
T0077,orderflow.taker_ratio,ratio_sign,spot,4h,LONG,top50,6,REGISTERED
T0078,orderflow.cvd,cvd_slope6_sign,spot,4h,LONG,top50,6,REGISTERED
T0079,context.btc_regime,regime_follow,spot,4h,LONG,top50,6,REGISTERED
T0080,context.market_breadth,breadth_0.4_0.6,spot,4h,LONG,top50,6,REGISTERED
T0081,trend.ema_20_50_spread,ema_10_30,um,15m,LONG,top50,96,REGISTERED
T0082,trend.ema_20_50_spread,ema_20_50,um,15m,LONG,top50,96,REGISTERED
T0083,trend.ema_20_50_spread,ema_50_200,um,15m,LONG,top50,96,REGISTERED
T0084,trend.ema_50_200_regime,ema_10_30,um,15m,LONG,top50,96,REGISTERED
T0085,trend.ema_50_200_regime,ema_20_50,um,15m,LONG,top50,96,REGISTERED
T0086,trend.ema_50_200_regime,ema_50_200,um,15m,LONG,top50,96,REGISTERED
T0087,trend.ema_slope,default,um,15m,LONG,top50,96,REGISTERED
T0088,trend.adx_dmi,adx14_threshold20,um,15m,LONG,top50,96,REGISTERED
T0089,trend.kaufman_er,er10_threshold0.3,um,15m,LONG,top50,96,REGISTERED
T0090,trend.donchian,donchian_20,um,15m,LONG,top50,96,REGISTERED
T0091,trend.donchian,donchian_48,um,15m,LONG,top50,96,REGISTERED
T0092,trend.donchian,donchian_55,um,15m,LONG,top50,96,REGISTERED
T0093,momentum.roc,roc_6,um,15m,LONG,top50,96,REGISTERED
T0094,momentum.roc,roc_12,um,15m,LONG,top50,96,REGISTERED
T0095,momentum.roc,roc_24,um,15m,LONG,top50,96,REGISTERED
T0096,momentum.rsi,rsi_7_30_70,um,15m,LONG,top50,96,REGISTERED
T0097,momentum.rsi,rsi_14_30_70,um,15m,LONG,top50,96,REGISTERED
T0098,momentum.rsi,rsi_21_30_70,um,15m,LONG,top50,96,REGISTERED
T0099,volatility.atr_natr,natr14_filter,um,15m,LONG,top50,96,REGISTERED
T0100,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,LONG,top50,96,REGISTERED
T0101,volatility.realized_percentile,rv20_p100_filter,um,15m,LONG,top50,96,REGISTERED
T0102,volume.rvol,rvol20_filter,um,15m,LONG,top50,96,REGISTERED
T0103,volume.vwap_deviation,vwap_dev20_reversal,um,15m,LONG,top50,96,REGISTERED
T0104,orderflow.taker_ratio,ratio_sign,um,15m,LONG,top50,96,REGISTERED
T0105,orderflow.cvd,cvd_slope6_sign,um,15m,LONG,top50,96,REGISTERED
T0106,context.btc_regime,regime_follow,um,15m,LONG,top50,96,REGISTERED
T0107,context.market_breadth,breadth_0.4_0.6,um,15m,LONG,top50,96,REGISTERED
T0108,derivatives.funding,funding_sign,um,15m,LONG,top50,96,REGISTERED
T0109,derivatives.funding_zscore,z90_extreme,um,15m,LONG,top50,96,REGISTERED
T0110,trend.ema_20_50_spread,ema_10_30,um,1h,LONG,top50,24,REGISTERED
T0111,trend.ema_20_50_spread,ema_20_50,um,1h,LONG,top50,24,REGISTERED
T0112,trend.ema_20_50_spread,ema_50_200,um,1h,LONG,top50,24,REGISTERED
T0113,trend.ema_50_200_regime,ema_10_30,um,1h,LONG,top50,24,REGISTERED
T0114,trend.ema_50_200_regime,ema_20_50,um,1h,LONG,top50,24,REGISTERED
T0115,trend.ema_50_200_regime,ema_50_200,um,1h,LONG,top50,24,REGISTERED
T0116,trend.ema_slope,default,um,1h,LONG,top50,24,REGISTERED
T0117,trend.adx_dmi,adx14_threshold20,um,1h,LONG,top50,24,REGISTERED
T0118,trend.kaufman_er,er10_threshold0.3,um,1h,LONG,top50,24,REGISTERED
T0119,trend.donchian,donchian_20,um,1h,LONG,top50,24,REGISTERED
T0120,trend.donchian,donchian_48,um,1h,LONG,top50,24,REGISTERED
T0121,trend.donchian,donchian_55,um,1h,LONG,top50,24,REGISTERED
T0122,momentum.roc,roc_6,um,1h,LONG,top50,24,REGISTERED
T0123,momentum.roc,roc_12,um,1h,LONG,top50,24,REGISTERED
T0124,momentum.roc,roc_24,um,1h,LONG,top50,24,REGISTERED
T0125,momentum.rsi,rsi_7_30_70,um,1h,LONG,top50,24,REGISTERED
T0126,momentum.rsi,rsi_14_30_70,um,1h,LONG,top50,24,REGISTERED
T0127,momentum.rsi,rsi_21_30_70,um,1h,LONG,top50,24,REGISTERED
T0128,volatility.atr_natr,natr14_filter,um,1h,LONG,top50,24,REGISTERED
T0129,volatility.bollinger_bandwidth,bb20_2s_filter,um,1h,LONG,top50,24,REGISTERED
T0130,volatility.realized_percentile,rv20_p100_filter,um,1h,LONG,top50,24,REGISTERED
T0131,volume.rvol,rvol20_filter,um,1h,LONG,top50,24,REGISTERED
T0132,volume.vwap_deviation,vwap_dev20_reversal,um,1h,LONG,top50,24,REGISTERED
T0133,orderflow.taker_ratio,ratio_sign,um,1h,LONG,top50,24,REGISTERED
T0134,orderflow.cvd,cvd_slope6_sign,um,1h,LONG,top50,24,REGISTERED
T0135,context.btc_regime,regime_follow,um,1h,LONG,top50,24,REGISTERED
T0136,derivatives.funding,funding_sign,um,1h,LONG,top50,24,REGISTERED
T0137,derivatives.funding_zscore,z90_extreme,um,1h,LONG,top50,24,REGISTERED
T0138,trend.ema_20_50_spread,ema_10_30,um,4h,LONG,top50,6,REGISTERED
T0139,trend.ema_20_50_spread,ema_20_50,um,4h,LONG,top50,6,REGISTERED
T0140,trend.ema_20_50_spread,ema_50_200,um,4h,LONG,top50,6,REGISTERED
T0141,trend.ema_50_200_regime,ema_10_30,um,4h,LONG,top50,6,REGISTERED
T0142,trend.ema_50_200_regime,ema_20_50,um,4h,LONG,top50,6,REGISTERED
T0143,trend.ema_50_200_regime,ema_50_200,um,4h,LONG,top50,6,REGISTERED
T0144,trend.ema_slope,default,um,4h,LONG,top50,6,REGISTERED
T0145,trend.adx_dmi,adx14_threshold20,um,4h,LONG,top50,6,REGISTERED
T0146,trend.kaufman_er,er10_threshold0.3,um,4h,LONG,top50,6,REGISTERED
T0147,trend.donchian,donchian_20,um,4h,LONG,top50,6,REGISTERED
T0148,trend.donchian,donchian_48,um,4h,LONG,top50,6,REGISTERED
T0149,trend.donchian,donchian_55,um,4h,LONG,top50,6,REGISTERED
T0150,momentum.roc,roc_6,um,4h,LONG,top50,6,REGISTERED
T0151,momentum.roc,roc_12,um,4h,LONG,top50,6,REGISTERED
T0152,momentum.roc,roc_24,um,4h,LONG,top50,6,REGISTERED
T0153,momentum.rsi,rsi_7_30_70,um,4h,LONG,top50,6,REGISTERED
T0154,momentum.rsi,rsi_14_30_70,um,4h,LONG,top50,6,REGISTERED
T0155,momentum.rsi,rsi_21_30_70,um,4h,LONG,top50,6,REGISTERED
T0156,volatility.atr_natr,natr14_filter,um,4h,LONG,top50,6,REGISTERED
