trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars,status
T0001,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,top50,4,REGISTERED
T0002,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,top50,16,REGISTERED
T0003,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,top50,48,REGISTERED
T0004,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,top50,96,REGISTERED
T0005,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,top50,4,REGISTERED
T0006,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,top50,16,REGISTERED
T0007,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,top50,48,REGISTERED
T0008,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,top50,96,REGISTERED
T0009,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,top50,4,REGISTERED
T0010,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,top50,16,REGISTERED
T0011,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,top50,48,REGISTERED
T0012,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,top50,96,REGISTERED
T0013,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,top50,4,REGISTERED
T0014,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,top50,16,REGISTERED
T0015,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,top50,48,REGISTERED
T0016,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,top50,96,REGISTERED
T0017,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,top50,4,REGISTERED
T0018,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,top50,16,REGISTERED
T0019,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,top50,48,REGISTERED
T0020,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,top50,96,REGISTERED
T0021,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,top50,4,REGISTERED
T0022,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,top50,16,REGISTERED
T0023,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,top50,48,REGISTERED
T0024,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,top50,96,REGISTERED
T0025,trend.ema_slope,default,spot,15m,LONG,top50,4,REGISTERED
T0026,trend.ema_slope,default,spot,15m,LONG,top50,16,REGISTERED
T0027,trend.ema_slope,default,spot,15m,LONG,top50,48,REGISTERED
T0028,trend.ema_slope,default,spot,15m,LONG,top50,96,REGISTERED
T0029,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,top50,4,REGISTERED
T0030,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,top50,16,REGISTERED
T0031,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,top50,48,REGISTERED
T0032,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,top50,96,REGISTERED
T0033,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,top50,4,REGISTERED
T0034,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,top50,16,REGISTERED
T0035,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,top50,48,REGISTERED
T0036,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,top50,96,REGISTERED
T0037,trend.donchian,donchian_20,spot,15m,LONG,top50,4,REGISTERED
T0038,trend.donchian,donchian_20,spot,15m,LONG,top50,16,REGISTERED
T0039,trend.donchian,donchian_20,spot,15m,LONG,top50,48,REGISTERED
T0040,trend.donchian,donchian_20,spot,15m,LONG,top50,96,REGISTERED
T0041,trend.donchian,donchian_48,spot,15m,LONG,top50,4,REGISTERED
